,LAKE_NAME,EcoRegion,ultraBlue,Blue,Green,Red,Date Aquired,dwPost,dwChroma,dwLehmann,s,sp,brightness,TriX,TriY,TriZ,x,y,z
48,Echo,Canadian_Shield,0.00031,0.0040775,0.016205,0.0143075,9/1/2022,568,567.842136,579.5007106,0.19332446,-0.001260084,0.012700821,1.353,1.414,0.203,0.46,0.48,0.07
49,Echo,Canadian_Shield,0.0003925,0.0038575,0.01604,0.0134275,9/1/2022,567,566.8204617,579.0748754,0.192764775,-0.00125602,0.012280875,1.314,1.383,0.200,0.45,0.48,0.07
50,Echo,Canadian_Shield,0.00042,0.003335,0.01505,0.01296,9/1/2022,567,567.4433233,579.5905185,0.19483049,-0.001269993,0.011627357,1.244,1.298,0.180,0.46,0.48,0.07
51,Echo,Canadian_Shield,0.0004475,0.00372,0.01648,0.0140875,9/1/2022,567,567.2874029,579.4666138,0.194353873,-0.001266759,0.012700216,1.359,1.421,0.199,0.46,0.48,0.07
52,Echo,Canadian_Shield,0.00053,0.00218,0.0143075,0.012575,9/1/2022,568,568.0217679,580.5402441,0.202151513,-0.001318816,0.011069291,1.186,1.218,0.144,0.47,0.48,0.06
53,Echo,Canadian_Shield,0.000915,0.003995,0.01681,0.0148025,9/1/2022,568,567.8302215,579.7928728,0.187855575,-0.00122473,0.013135831,1.408,1.462,0.237,0.45,0.47,0.08
54,Echo,Canadian_Shield,0.009715,0.00361,0.0160675,0.014005,9/1/2022,568,567.6681889,584.1176781,0.102524276,-0.000671689,0.012481142,1.437,1.402,0.732,0.40,0.39,0.21
55,Echo,Canadian_Shield,0.0099075,0.0036375,0.0153525,0.0130425,9/1/2022,567,567.1254678,584.1256357,0.095341324,-0.000624637,0.011818594,1.369,1.338,0.742,0.40,0.39,0.22
56,Bear_Head,Canadian_Shield,0.00156125,0.00499875,0.01087,0.00614,9/1/2022,554,553.6726308,571.6646508,0.142732068,-0.000927219,0.007764105,0.819,0.936,0.294,0.40,0.46,0.14
57,Bear_Head,Canadian_Shield,0.002785,0.00618125,0.0115575,0.00695125,9/1/2022,552,552.4900293,570.9283672,0.120242369,-0.000781015,0.008565503,0.904,1.022,0.408,0.39,0.44,0.17
58,Bear_Head,Canadian_Shield,0.00284,0.0051775,0.01054,0.00565875,9/1/2022,551,550.6045271,570.1323943,0.117811581,-0.000765109,0.007525945,0.801,0.911,0.373,0.38,0.44,0.18
59,Bear_Head,Canadian_Shield,0.00288125,0.00549375,0.0114475,0.00640125,9/1/2022,553,552.5049612,571.017533,0.121805007,-0.000791178,0.008209802,0.876,0.991,0.389,0.39,0.44,0.17
60,Bear_Head,Canadian_Shield,0.00290875,0.0039675,0.01016875,0.00502625,9/1/2022,553,552.7325576,571.2541386,0.12157488,-0.000789719,0.006938005,0.753,0.849,0.334,0.39,0.44,0.17
61,Bear_Head,Canadian_Shield,0.0034725,0.007405,0.0122725,0.00757,9/1/2022,550,549.5243221,569.685669,0.109281425,-0.000709656,0.009358653,0.978,1.107,0.492,0.38,0.43,0.19
62,Bear_Head,Canadian_Shield,0.0035825,0.00700625,0.012135,0.0069925,9/1/2022,548,548.0924987,569.0986273,0.108567517,-0.000704956,0.009041401,0.950,1.080,0.484,0.38,0.43,0.19
63,Bear_Head,Canadian_Shield,0.0040225,0.00717125,0.01225875,0.0073225,9/1/2022,549,549.2386025,569.4171652,0.10317791,-0.000669992,0.009225378,0.973,1.098,0.516,0.38,0.42,0.20
64,Bear_Head,Canadian_Shield,0.00486125,0.00549375,0.01102125,0.00609875,9/1/2022,551,551.2664437,569.9605921,0.090318648,-0.000586542,0.007933977,0.866,0.960,0.503,0.37,0.41,0.22
65,Bear_Head,Canadian_Shield,0.00491625,0.0050675,0.01044375,0.0054525,9/1/2022,550,549.9922263,569.1239564,0.086216346,-0.000559826,0.007404531,0.811,0.901,0.490,0.37,0.41,0.22
66,Bear_Head,Canadian_Shield,0.0052875,0.00541125,0.01066375,0.0055075,9/1/2022,548,548.327097,568.0354762,0.081482543,-0.00052902,0.007601091,0.831,0.924,0.524,0.36,0.41,0.23
67,Ten_Mile,Northern_Lakes_and_Forests,0.0002,0.0074325,0.013455,0.004435,8/30/2022,528,528.1232399,564.2309725,0.162419088,-0.001054243,0.009236672,0.895,1.125,0.306,0.38,0.48,0.13
68,Ten_Mile,Northern_Lakes_and_Forests,0.000365,0.007075,0.0134275,0.0044075,8/30/2022,531,531.0667835,564.7071539,0.161879346,-0.001050771,0.009124682,0.892,1.115,0.303,0.39,0.48,0.13
69,Ten_Mile,Northern_Lakes_and_Forests,0.0008875,0.0075425,0.0138125,0.00471,8/30/2022,530,529.9353888,564.3023794,0.152652941,-0.000990856,0.009484348,0.931,1.157,0.351,0.38,0.47,0.14
70,Ten_Mile,Northern_Lakes_and_Forests,0.001465,0.0068825,0.01373,0.00405,8/30/2022,531,531.0870011,563.6411278,0.148240478,-0.000962166,0.009170318,0.906,1.126,0.361,0.38,0.47,0.15
71,Ten_Mile,Northern_Lakes_and_Forests,0.001465,0.0075975,0.0139775,0.0047925,8/30/2022,530,530.4116274,564.062899,0.144868534,-0.000940311,0.009592715,0.949,1.171,0.387,0.38,0.47,0.15
72,Ten_Mile,Northern_Lakes_and_Forests,0.00185,0.0079,0.01428,0.0048475,8/30/2022,529,528.9151268,563.4405174,0.139602897,-0.000906087,0.009828982,0.973,1.199,0.421,0.38,0.46,0.16
73,Ten_Mile,Northern_Lakes_and_Forests,0.00207,0.0076525,0.0137025,0.0042975,8/30/2022,526,525.9316735,562.1436397,0.135755265,-0.000881017,0.009394817,0.925,1.146,0.423,0.37,0.46,0.17
74,Ten_Mile,Northern_Lakes_and_Forests,0.0021525,0.00669,0.01274,0.0040225,8/30/2022,530,530.1688537,563.0065617,0.134402401,-0.0008723,0.008626398,0.860,1.057,0.392,0.37,0.46,0.17
75,Ten_Mile,Northern_Lakes_and_Forests,0.002235,0.0076525,0.01373,0.0046275,8/30/2022,528,528.1780875,562.8745301,0.133271104,-0.000864948,0.009460222,0.939,1.154,0.433,0.37,0.46,0.17
76,Ten_Mile,Northern_Lakes_and_Forests,0.0024825,0.0063325,0.0132625,0.003775,8/30/2022,533,532.7770404,563.1082144,0.134414256,-0.000872385,0.008760614,0.880,1.080,0.400,0.37,0.46,0.17
77,South_Twin,Northern_Lakes_and_Forests,0.002455,0.004325,0.0144725,0.0045175,8/30/2022,547,547.4626351,568.7399576,0.150889977,-0.000979718,0.009102503,0.953,1.131,0.331,0.39,0.47,0.14
78,South_Twin,Northern_Lakes_and_Forests,0.0047375,0.01142,0.01725,0.0084225,8/30/2022,529,529.0600822,563.9161898,0.10750183,-0.000697764,0.012895961,1.304,1.537,0.719,0.37,0.43,0.20
79,South_Twin,Northern_Lakes_and_Forests,0.01021,0.00691,0.0145275,0.0055075,8/30/2022,541,540.5429243,557.236215,0.055816696,-0.000362155,0.009817143,1.094,1.217,0.872,0.34,0.38,0.27
80,Red_Sand,Northern_Lakes_and_Forests,0.00031,0.00669,0.0183775,0.00735,8/31/2022,549,548.983072,569.9799962,0.177841905,-0.001154935,0.012062492,1.243,1.487,0.300,0.41,0.49,0.10
81,Red_Sand,Northern_Lakes_and_Forests,0.0011625,0.006415,0.0189825,0.007295,8/31/2022,549,549.3513605,570.0271275,0.170553648,-0.001107613,0.012311303,1.279,1.521,0.341,0.41,0.48,0.11
82,Red_Sand,Northern_Lakes_and_Forests,0.00119,0.00746,0.0183225,0.00768,8/31/2022,548,547.8985826,569.4750379,0.16292053,-0.001057944,0.012252184,1.267,1.507,0.378,0.40,0.48,0.12
83,Red_Sand,Northern_Lakes_and_Forests,0.001245,0.0049575,0.0132075,0.0044625,8/31/2022,545,544.8511069,568.0322018,0.160155585,-0.001039799,0.008542614,0.877,1.058,0.280,0.40,0.48,0.13
84,Red_Sand,Northern_Lakes_and_Forests,0.0018225,0.0065525,0.01846,0.006965,8/31/2022,548,548.1987408,569.4314672,0.160721048,-0.001043654,0.012003029,1.250,1.485,0.383,0.40,0.48,0.12
85,Hill,Northern_Lakes_and_Forests,0.0004475,0.0056175,0.01297375,0.00559,9/1/2022,547,547.1678543,569.3258778,0.16696508,-0.001084182,0.008777293,0.900,1.076,0.256,0.40,0.48,0.11
86,Hill,Northern_Lakes_and_Forests,0.00142375,0.00387125,0.01195625,0.0037475,9/1/2022,546,546.3091784,568.4169816,0.15960976,-0.001036296,0.007571487,0.783,0.940,0.249,0.40,0.48,0.13
87,Hill,Northern_Lakes_and_Forests,0.00153375,0.0066075,0.0133725,0.005975,9/1/2022,544,544.2185333,568.1791999,0.1454106,-0.000944081,0.009276915,0.953,1.132,0.355,0.39,0.46,0.15
88,Hill,Northern_Lakes_and_Forests,0.00268875,0.00609875,0.01333125,0.00532875,9/1/2022,543,543.4937474,567.2925277,0.131811541,-0.000855727,0.009005786,0.937,1.108,0.404,0.38,0.45,0.16
